add-none,2,10,40,151077,3776,0
add-none,2,20,80,150371,1879,0
add-none,2,40,160,148864,930,0
add-none,2,80,320,149435,466,0
add-none,2,100,400,133361,333,0
add-none,2,1000,4000,152358,38,0
add-none,2,10000,40000,516743,12,1650
add-none,2,100000,400000,3830929,9,-30256
add-none,4,10,80,180422,2255,0
add-none,4,20,160,167185,1044,0
add-none,4,40,320,173732,542,0
add-none,4,80,640,178927,279,33
add-none,4,100,800,165831,207,0
add-none,4,1000,8000,183682,22,99
add-none,4,10000,80000,1136179,14,4130
add-none,4,100000,800000,9892936,12,-76146
add-none,8,10,160,279694,1748,0
add-none,8,20,320,266008,831,0
add-none,8,40,640,252098,393,0
add-none,8,80,1280,262292,204,0
add-none,8,100,1600,288176,180,0
add-none,8,1000,16000,319244,19,-30
add-none,8,10000,160000,2318770,14,-8572
add-none,8,100000,1600000,18118486,11,-150030
add-none,12,10,240,390506,1627,0
add-none,12,20,480,794302,1654,-3
add-none,12,40,960,721209,751,0
add-none,12,80,1920,683449,355,0
add-none,12,100,2400,755670,314,62
add-none,12,1000,24000,1706288,71,0
add-none,12,10000,240000,12048961,50,284
add-none,12,100000,2400000,43656624,18,64963
add-yield-none,2,10,40,334546,8363,0
add-yield-none,2,20,80,719567,8994,0
add-yield-none,2,40,160,547596,3422,0
add-yield-none,2,80,320,1237322,3866,0
add-yield-none,2,100,400,1929318,4823,0
add-yield-none,2,1000,4000,10108113,2527,110
add-yield-none,2,10000,40000,100135822,2503,227
add-yield-none,2,100000,400000,551227418,1378,-20946
add-yield-none,4,10,80,200413,2505,0
add-yield-none,4,20,160,233628,1460,17
add-yield-none,4,40,320,224567,701,21
add-yield-none,4,80,640,301019,470,72
add-yield-none,4,100,800,310668,388,64
add-yield-none,4,1000,8000,1650389,206,59
add-yield-none,4,10000,80000,14551927,181,-11
add-yield-none,4,100000,800000,143683389,179,-607
add-yield-none,8,10,160,297271,1857,3
add-yield-none,8,20,320,323613,1011,34
add-yield-none,8,40,640,329026,514,19
add-yield-none,8,80,1280,424578,331,110
add-yield-none,8,100,1600,458911,286,184
add-yield-none,8,1000,16000,1894056,118,69
add-yield-none,8,10000,160000,16098861,100,905
add-yield-none,8,100000,1600000,157049922,98,-9112
add-yield-none,12,10,240,414374,1726,3
add-yield-none,12,20,480,425495,886,73
add-yield-none,12,40,960,421321,438,104
add-yield-none,12,80,1920,460072,239,122
add-yield-none,12,100,2400,526316,219,159
add-yield-none,12,1000,24000,2347071,97,-131
add-yield-none,12,10000,240000,20805472,86,216
add-yield-none,12,100000,2400000,171887875,71,-1444
add-none,2,100,400,157466,393,0
add-none,2,1000,4000,146944,36,0
add-none,2,10000,40000,459760,11,42
add-none,2,100000,400000,4779476,11,-16035
add-none,8,100,1600,308499,192,54
add-none,8,1000,16000,323680,20,748
add-none,8,10000,160000,1991325,12,-3200
add-none,8,100000,1600000,19339829,12,-40001
add-yield-none,2,100,400,272301,680,21
add-yield-none,2,1000,4000,1544078,386,-8
add-yield-none,2,10000,40000,15273040,381,-1897
add-yield-none,2,100000,400000,153415066,383,-1467
add-yield-none,8,100,1600,413879,258,129
add-yield-none,8,1000,16000,1932632,120,220
add-yield-none,8,10000,160000,17640429,110,66
add-yield-none,8,100000,1600000,156272084,97,-16086
add-yield-none,1,1,2,112656,56328,0
add-yield-none,1,2,4,119122,29780,0
add-yield-none,1,4,8,133736,16717,0
add-yield-none,1,8,16,147232,9202,0
add-yield-none,1,10,20,132853,6642,0
add-yield-none,1,20,40,144209,3605,0
add-yield-none,1,40,80,152666,1908,0
add-yield-none,1,80,160,209961,1312,0
add-yield-none,1,100,200,250468,1252,0
add-yield-none,1,200,400,410682,1026,0
add-yield-none,1,400,800,620903,776,0
add-yield-none,1,800,1600,1118965,699,0
add-yield-none,1,1000,2000,1338854,669,0
add-yield-none,1,2000,4000,2733331,683,0
add-yield-none,1,4000,8000,5224786,653,0
add-yield-none,1,10000,20000,12274046,613,0
add-yield-none,1,100000,200000,127754629,638,0
add-yield-none,1,1000000,2000000,1224385219,612,0
add-none,1,1,2,124681,62340,0
add-none,1,2,4,818967,204741,0
add-none,1,4,8,125584,15698,0
add-none,1,8,16,153349,9584,0
add-none,1,10,20,807794,40389,0
add-none,1,20,40,108424,2710,0
add-none,1,40,80,109036,1362,0
add-none,1,80,160,148693,929,0
add-none,1,100,200,123196,615,0
add-none,1,200,400,142511,356,0
add-none,1,400,800,143566,179,0
add-none,1,800,1600,120268,75,0
add-none,1,1000,2000,129173,64,0
add-none,1,2000,4000,162128,40,0
add-none,1,4000,8000,188527,23,0
add-none,1,10000,20000,281519,14,0
add-none,1,100000,200000,1427521,7,0
add-none,1,1000000,2000000,13086038,6,0
add-yield-m,2,10000,40000,47599158,1189,0
add-yield-m,4,10000,80000,114276013,1428,0
add-yield-m,8,10000,160000,264276920,1651,0
add-yield-m,12,10000,240000,398591694,1660,0
add-yield-c,2,10000,40000,2052716,51,0
add-yield-c,4,10000,80000,5732838,71,0
add-yield-c,8,10000,160000,16097865,100,0
add-yield-c,12,10000,240000,21790724,90,0
add-yield-s,2,10000,40000,29202977,730,0
add-yield-s,4,10000,80000,113750088,1421,0
add-yield-s,8,1000,16000,29252074,1828,0
add-yield-s,12,1000,24000,55012508,2292,0
add-m,1,10000,20000,771010,38,0
add-m,2,10000,40000,6286992,157,0
add-m,4,10000,80000,15566230,194,0
add-m,8,10000,160000,41187106,257,0
add-m,12,10000,240000,61735681,257,0
add-c,1,10000,20000,519011,25,0
add-c,2,10000,40000,1647780,41,0
add-c,4,10000,80000,5593499,69,0
add-c,8,10000,160000,12601472,78,0
add-c,12,10000,240000,19238943,80,0
add-s,1,10000,20000,372667,18,0
add-s,2,10000,40000,6560322,164,0
add-s,4,10000,80000,45466326,568,0
add-s,8,10000,160000,140410107,877,0
add-s,12,10000,240000,283176859,1179,0
